 pressure | temperature |   density | altitude
   0.5365 |      137.17 |    0.1105 |   14.277
   0.5445 |      137.96 |   0.11151 |   13.968
   0.5684 |      139.42 |   0.11518 |   13.061
   0.5803 |      140.21 |   0.11693 |    12.62
   0.5922 |       141.0 |   0.11866 |   12.186
   0.6041 |       141.9 |   0.12028 |   11.757
     0.62 |      142.58 |   0.12285 |   11.195
   0.6319 |      143.48 |   0.12443 |   10.781
   0.6438 |      144.16 |   0.12617 |   10.373
   0.6557 |      144.95 |    0.1278 |     9.97
  0.67066 |       146.0 |   0.12978 |    9.471
  0.68496 |       147.0 |   0.13164 |    9.001
  0.69947 |       148.0 |   0.13352 |     8.53
  0.71419 |       149.0 |   0.13542 |     8.06
  0.72911 |       150.0 |   0.13733 |     7.59
  0.74425 |       151.0 |   0.13925 |    7.119
   0.7596 |       152.0 |   0.14119 |    6.648
  0.77517 |       153.0 |   0.14314 |    6.178
  0.79096 |       154.0 |   0.14511 |    5.707
  0.80696 |       155.0 |   0.14709 |    5.236
  0.82319 |       156.0 |   0.14908 |    4.765
  0.83964 |       157.0 |   0.15109 |    4.294
  0.85632 |       158.0 |   0.15312 |    3.823
  0.87323 |       159.0 |   0.15516 |    3.351
  0.89037 |       160.0 |   0.15722 |     2.88
  0.90773 |       161.0 |   0.15929 |    2.408
  0.92534 |       162.0 |   0.16138 |    1.936
  0.94318 |       163.0 |   0.16348 |    1.464
  0.96126 |       164.0 |    0.1656 |    0.992
  0.97958 |       165.0 |   0.16773 |     0.52
  0.99814 |       166.0 |   0.16988 |    0.047
      1.0 |       166.1 |   0.17399 |      0.0
    1.017 |       167.0 |   0.17205 |   -0.427
    1.036 |       168.0 |   0.17422 |   -0.899
   1.0553 |       169.0 |   0.17642 |   -1.372
   1.0749 |       170.0 |   0.17864 |   -1.846
   1.0947 |       171.0 |   0.18086 |   -2.319
   1.1148 |       172.0 |   0.18311 |   -2.794
   1.1351 |       173.0 |   0.18537 |   -3.267
   1.1557 |       174.0 |   0.18765 |   -3.742
   1.1766 |       175.0 |   0.18995 |   -4.218
   1.1977 |       176.0 |   0.19226 |   -4.692
   1.2191 |       177.0 |   0.19459 |   -5.167
   1.2408 |       178.0 |   0.19694 |   -5.644
   1.2627 |       179.0 |    0.1993 |   -6.119
    1.285 |       180.0 |   0.20169 |   -6.596
   1.3075 |       181.0 |   0.20409 |   -7.073
   1.3302 |       182.0 |   0.20649 |   -7.548
   1.3533 |       183.0 |   0.20893 |   -8.026
   1.3767 |       184.0 |   0.21139 |   -8.504
   1.4003 |       185.0 |   0.21385 |   -8.981
   1.4242 |       186.0 |   0.21633 |   -9.458
   1.4485 |       187.0 |   0.21884 |   -9.938
    1.473 |       188.0 |   0.22136 |  -10.416
   1.4978 |       189.0 |    0.2239 |  -10.895
   1.5229 |       190.0 |   0.22645 |  -11.374
   1.5483 |       191.0 |   0.22902 |  -11.853
   1.5741 |       192.0 |   0.23163 |  -12.334
   1.6001 |       193.0 |   0.23423 |  -12.813
   1.6265 |       194.0 |   0.23687 |  -13.295
   1.6531 |       195.0 |   0.23951 |  -13.774
